description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 Twisted Essence of Suffering + 1 Charged Essence of Hatred + 1 Burning Essence of Terror + 1 Festering Essence of Destruction + Grand Charm -> Rerolled Grand Charm & +1 Random Sorceress Skill Tab	1			100				sor	5	"cm3,mag"	ceh	bet	fed	tes			"usetype,mag"			100	tab-rand	100	1	8	10																																																																															0
1 Twisted Essence of Suffering + 1 Charged Essence of Hatred + 1 Burning Essence of Terror + 1 Festering Essence of Destruction + Grand Charm -> Rerolled Grand Charm & +1 Random Druid Skill Tab	1			100				dru	5	"cm3,mag"	ceh	bet	fed	tes			"usetype,mag"			100	tab-rand	100	1	40	42																																																																															0
1 Twisted Essence of Suffering + 1 Charged Essence of Hatred + 1 Burning Essence of Terror + 1 Festering Essence of Destruction + Grand Charm -> Rerolled Grand Charm & +1 Random Necromancer Skill Tab	1			100				nec	5	"cm3,mag"	ceh	bet	fed	tes			"usetype,mag"			100	tab-rand	100	1	16	18																																																																															0
1 Twisted Essence of Suffering + 1 Charged Essence of Hatred + 1 Burning Essence of Terror + 1 Festering Essence of Destruction + Grand Charm -> Rerolled Grand Charm & +1 Random Amazon Skill Tab	1			100				ama	5	"cm3,mag"	ceh	bet	fed	tes			"usetype,mag"			100	tab-rand	100	1	0	2																																																																															0
1 Twisted Essence of Suffering + 1 Charged Essence of Hatred + 1 Burning Essence of Terror + 1 Festering Essence of Destruction + Grand Charm -> Rerolled Grand Charm & +1 Random Paladin Skill Tab	1			100				pal	5	"cm3,mag"	ceh	bet	fed	tes			"usetype,mag"			100	tab-rand	100	1	24	26																																																																															0
1 Twisted Essence of Suffering + 1 Rare Amulet  -> Unique Amulet	1			100					2	"amu,rar"	tes						"usetype,uni"	99																																																																																						0
1 Twisted Essence of Suffering + 1 Rare Ring  -> Unique Ring	1			100					2	"ring,rar"	tes						"usetype,uni"	99																																																																																						0
1 Charged Essence of Hatred + 1 Rare Armor  -> Unique Armor	1			100					2	"armo,rar"	ceh						"armo,uni"	99																																																																																						0
1 Charged Essence of Hatred + 1 Rare Weapon  -> Unique Weapon	1			100					2	"weap,rar"	ceh						"weap,uni"	99																																																																																						0
1 Burning Essence of Terror + Rare Amulet -> Set Amulet	1			100					2	"amu,rar"	bet						"usetype,set"	99																																																																																						0
1 Burning Essence of Terror + Rare Ring -> Set Ring	1			100					2	"rin,rar"	bet						"usetype,set"	99																																																																																						0
1 Festering Essence of Destruction + Rare Armor -> Set Armor	1			100					2	"armo,rar"	fed						"armo,set"	99																																																																																						0
1 Festering Essence of Destruction + Rare Weapon -> Set Weapon	1			100					2	"weap,rar"	fed						"weap,set"	99																																																																																						0
add random sockets to armor	1			100					2	"armo,nru"	mos						useitem			100	sock			1	4																																																																															0
add random sockets to weapon	1			100					2	"weap,nru"	mos						useitem			100	sock			1	6																																																																															0
remove sockets from all items	1			100					2	"any,sock"	mou						"useitem,rem"																																																																																							0
reroll charms 3:1 100% plvl	1			100					3	"cm1,mag,qty=3"							"cm1,mag"		100																																																																																					0
reroll charms 3:1 100% plvl	1			100					3	"cm2,mag,qty=3"							"cm2,mag"		100																																																																																					0
reroll charms 3:1 100% plvl	1			100					3	"cm3,mag,qty=3"							"cm3,mag"		100																																																																																					0
craft leap of faith unique ring	1			100					4	r08	r07	r09	ring				Leap of Faith	111																																																																																						0
upgrade torment charm first	1			100	16	80	24	ama	5	Tormented Charm	tc1	tc2	tc3	tc4			useitem				ama	100		1	1	hp	100		10	10	mana	100		10	10	mag%	100		10	10	levelreq	100		20	20																																																											0
upgrade torment charm first	1			100	16	80	24	sor	5	Tormented Charm	tc1	tc2	tc3	tc4			useitem				sor	100		1	1	hp	100		10	10	mana	100		10	10	mag%	100		10	10	levelreq	100		20	20																																																											0
upgrade torment charm first	1			100	16	80	24	nec	5	Tormented Charm	tc1	tc2	tc3	tc4			useitem				nec	100		1	1	hp	100		10	10	mana	100		10	10	mag%	100		10	10	levelreq	100		20	20																																																											0
upgrade torment charm first	1			100	16	80	24	pal	5	Tormented Charm	tc1	tc2	tc3	tc4			useitem				pal	100		1	1	hp	100		10	10	mana	100		10	10	mag%	100		10	10	levelreq	100		20	20																																																											0
upgrade torment charm first	1			100	16	80	24	bar	5	Tormented Charm	tc1	tc2	tc3	tc4			useitem				bar	100		1	1	hp	100		10	10	mana	100		10	10	mag%	100		10	10	levelreq	100		20	20																																																											0
upgrade torment charm first	1			100	16	80	24	dru	5	Tormented Charm	tc1	tc2	tc3	tc4			useitem				dru	100		1	1	hp	100		10	10	mana	100		10	10	mag%	100		10	10	levelreq	100		20	20																																																											0
upgrade torment charm first	1			100	16	80	24	ass	5	Tormented Charm	tc1	tc2	tc3	tc4			useitem				ass	100		1	1	hp	100		10	10	mana	100		10	10	mag%	100		10	10	levelreq	100		20	20																																																											0
upgrade torment charm second	1			100	16	80	49	ama	5	Tormented Charm	tc5	tc6	tc7	tc8			useitem				ama	100		1	1	swing1	100		20	20	dex	100		20	20	mag%	100		25	25	levelreq	100		30	30																																																											0
upgrade torment charm second	1			100	16	80	49	sor	5	Tormented Charm	tc5	tc6	tc7	tc8			useitem				sor	100		1	1	cast1	100		20	20	enr	100		20	20	mag%	100		25	25	levelreq	100		30	30																																																											0
upgrade torment charm second	1			100	16	80	49	nec	5	Tormented Charm	tc5	tc6	tc7	tc8			useitem				nec	100		1	1	balance1	100		20	20	res-mag	100		10	10	mag%	100		25	25	levelreq	100		30	30																																																											0
upgrade torment charm second	1			100	16	80	49	pal	5	Tormented Charm	tc5	tc6	tc7	tc8			useitem				pal	100		1	1	red-dmg%	100		10	10	vit	100		20	20	mag%	100		25	25	levelreq	100		30	30																																																											0
upgrade torment charm second	1			100	16	80	49	bar	5	Tormented Charm	tc5	tc6	tc7	tc8			useitem				bar	100		1	1	red-dmg%	100		10	10	str	100		20	20	mag%	100		25	25	levelreq	100		30	30																																																											0
upgrade torment charm second	1			100	16	80	49	dru	5	Tormented Charm	tc5	tc6	tc7	tc8			useitem				dru	100		1	1	res-all	100		20	20	all-stats	100		10	10	mag%	100		25	25	levelreq	100		30	30																																																											0
upgrade torment charm second	1			100	16	80	49	ass	5	Tormented Charm	tc5	tc6	tc7	tc8			useitem				ass	100		1	1	swing1	100		20	20	extra-ele	100		10	10	mag%	100		25	25	levelreq	100		30	30																																																											0
