index	*ID	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Spellsteel	135	100	1		1	1	50	50	9ba	Bearded Axe		5	5000	whit	whit						ease		-60	-60	mana		100	100	red-mag		12	15	cast1		50	50	dmg%		200	200	regen-mana		50	50	allskills		3	3																						0
Stormrider	136	100	1		1	1	43	47	9bt	Tabar		5	5000	lred	lred		inv9btu				aura	Holy Shock	10	10	pierce-ltng		15	15	dmg-ltng		1	200	dmg-norm		35	75	dmg%		133	199	hit-skill	Charged Bolt	15	20																										0
Boneslayer Blade	137	100	1		1	1	50	50	9ga	Gothic Axe		5	5000				invgaxu				att-und/lvl	10			dmg-und/lvl	20			str		25	25	swing2		25	25	att%		50	50	dmg%		180	220	aura	Sanctuary	5	5																						0
The Minataur	138	100	1		1	1	55	55	9gi	Ancient Axe		5	5000				inv9giu				stupidity		2	2	half-freeze		1	1	str		50	50	dmg-norm		50	100	dmg%		200	250	ease		100	100	red-dmg%		-10	-10																						0
Suicide Branch	139	100	1		1	1	30	40	9wn	Burnt Wand		5	5000								regen		-20	-20	cast2		50	50	res-all		25	25	mana%		30	30	hp		-40	-40	allskills		2	2																										0
Carin Shard	140	100	1		1	1	43	45	9yw	Petrified Wand		5	5000	cblu	cblu						hp/lvl	10			cast2		10	10	mana/lvl	10			balance2		30	30	regen		5	5	nec		1	1	skilltab	8	2	2																						0
Arm of King Leoric	141	100	1		1	1	44	50	9bw	Tomb Wand		5	5000				invbwnu				nec		2	2	gethit-skill	Bone Spirit	10	25	skill	Raise Skeleton	3	3	skill	Skeleton Mastery	3	3	extra_skele_warriors		2	2	skilltab	8	2	2																										0
Blackhand Key	142	100	1		1	1	43	45	9gw	Grave Wand		5	5000	blac	blac		inv9gwu				skilltab	6	3	3	dmg-to-mana		20	20	hp		50	50	light		-2	-2	cast3		30	30	res-all		25	25	nec		2	2																						0
Dark Clan Crusher	143	100	1		1	1	40	42	9cl	Cudgel		5	5000	dgld	dgld		invclbu				dru		2	2	dmg-demon		200	200	att-demon		200	200	dmg%		195	195	att%		20	25	demon-heal		15	15	dmg/lvl		4	4																						0
Zakarum's Hand	144	100	1		1	1	30	37	9sc	Rune Scepter		5	5000	lpur	lpur						manasteal		8	8	ignore-ac		1	1	regen-mana		10	10	dmg-ltng		1	100	skill	Holy Shock	5	5	dmg%		180	220	swing2		30	30																						0
The Fetid Sprinkler	145	100	1		1	1	43	43	9qs	Holy Water Sprinkler		5	5000								pal		2	2	hit-skill	Decrepify	8	1	hit-skill	Poison Nova	8	15	dmg%		160	190	att		150	200	dmg-norm		15	25																										0
Hand of Blessed Light	146	100	1		1	1	50	50	9ws	Divine Scepter		5	5000	lyel							pal		2	2	dmg%		130	160	att		100	100	extra_holy_bolts		2	2	light		4	4	dmg-norm		20	45	hit-skill	Holy Bolt	9	15																						0
Fleshrender	147	100	1		1	1	35	38	9sp	Barbed Club		5	5000	blac			invspcu				openwounds		50	50	swing1		-15	-15	deadly		35	35	dmg-norm		35	75	dmg%		180	220	dru		1	1	skilltab	16	2	2																						0
Sureshrill Frost	148	100	1		1	1	35	39	9ma	Flanged Mace		5	5000								dmg-cold	75	63	112	nofreeze		1	1	dmg%		150	180	dmg-norm		15	25	freeze		3	3	charged	Frozen Orb	50	30																										0
Moonfall	149	100	1		1	1	45	45	9mt	Jagged Star		5	5000				invmstu				hit-skill	Meteor	8	25	dmg-fire		66	133	red-mag		9	12	dmg%		120	150	light		1	1	pierce-fire		10	10	dmg-norm		10	20	swing1		10	15																		0
Baezil's Vortex	150	100	1		1	1	45	45	9fl	Knout		5	5000	dblu	dblu						hit-skill	Chain Lightning	9	20	dmg-ltng		1	150	mana		100	100	res-ltng		25	25	dmg%		160	200	swing2		20	20	charged	Static Field	50	10																						0
Earthshaker	151	100	1		1	1	45	47	9wh	Battle Hammer		5	5000								hit-skill	Eruption	8	15	hit-skill	Volcano	8	15	swing3		30	30	dmg%		150	250	stupidity		1	1	skilltab	17	3	3																										0
Bloodtree Stump	152	100	1		1	1	43	50	9m9	War Club		5	5000	dred							deadly		50	50	dmg%		200	300	res-all		20	20	str		25	25	skilltab	12	2	2	skill	Mace Mastery	5	5																										0
The Gavel of Pain	153	100	1		1	1	50	55	9gm	Martel de Fer		5	5000				inv9gmu				hit-skill	Amplify Damage	10	5	gethit-skill	Battle Cry	8	10	aura	Thorns	5	5	dmg-max		50	100	dmg%		150	200																														0
Bloodletter	154	100	1		1	1	25	30	9ss	Gladius		5	5000	cred	cred						dmg-norm		12	45	att		90	90	lifesteal		8	8	stamdrain		10	10	swing2		20	20	dmg%		150	200	skill	Blade Mastery	2	4	skill	Whirlwind	1	3	dur		30	30														0
Coldsteel Eye	155	100	1		1	1	43	47	9sm	Cutlass		5	5000	dgry			invscmu				stupidity		1	1	dmg-cold	50	50	100	deadly		50	50	dur		50	50	dmg%		200	250	swing2		20	20	manasteal		6	6																						0
Hexfire	156	100	1		1	1	41	42	9sb	Shamshir		5	5000				invsbru				hit-skill	Lower Resist	9	5	ignore-ac		1	1	res-fire		25	25	res-fire-max		5	5	dmg-fire		50	100	dmg%		140	160	fireskill		3	3																						0
Blade of Ali Baba	157	100	1		1	1	43	43	9fc	Tulwar		5	5000	cred	cred						sock	3			gold%/lvl	20			mag%/lvl	16			mana		15	15	dmg%		60	120	dex		5	15	cast1		-10	-10																						0
Ginther's Rift	158	100	1		1	1	45	50	9cr	Dimensional Blade		5	5000	cblu			inv9cru				red-mag		7	12	swing2		30	30	rep-dur	20			dmg-mag		50	150	dmg%		150	200	dmg/lvl	6																												0
Headstriker	159	100	1		1	1	47	55	9bs	Battle Sword		5	5000	bwht	bwht						openwounds		33	33	str		15	15	deadly/lvl	4			dmg/lvl	8			dmg%		150	200																														0
Plague Bearer	160	100	1		1	1	43	44	9ls	Rune Sword		5	5000				inv9lsu				hit-skill	Poison Nova	14	12	pierce-pois		10	10	dmg-norm		10	45	dmg%		150	177	res-pois		45	45	skill	Rabies	3	3																										0
The Atlantian	161	100	1		1	1	50	50	9wd	Ancient Sword		5	5000	lblu	lblu						block1		20	20	ac		75	75	all-stats		10	15	dmg%		200	250	pal		2	2	att%		100	100	skill	Zeal	3	3																						0
Crainte Vomir	162	100	1		1	1	50	55	92h	Espandon		5	5000	lgld			inv2hsu				hit-skill	Decrepify	10	1	dmg-ac		-70	-70	move2		20	20	red-dmg%		10	10	dmg%		200	233	swing3		50	50	dmg-max		20	35																						0
Bing Sz Wang	163	100	1		1	1	43	43	9cm	Dacian Falx		5	5000								ease		-30	-30	dmg-cold	50	50	200	str		20	20	freeze		2	2	hit-skill	Frozen Orb	9	20	dmg%		177	244																										0
The Vile Husk	164	100	1		1	1	52	56	9gs	Tusk Sword		5	5000	dgry	dgry		invgisu				hit-skill	Amplify Damage	9	5	dmg-und/lvl	48			att-und/lvl	24			res-pois		50	50	dmg%		200	277	dmg-norm		20	50																										0
Cloudcrack	165	100	1		1	1	53	57	9b9	Gothic Sword		5	5000				invbswu				hit-skill	Fist of the Heavens	12	15	dmg-ltng		1	300	dmg-mag		50	100	light		2	2	res-ltng-max		5	5	dmg%		200	300	skilltab	10	2	2	skilltab	11	2	2																		0
Todesfaelle Flamme	166	100	1		1	1	54	58	9fb	Zweihander		5	5000				inv9fbu				dmg-fire		50	200	res-fire		40	40	abs-fire		10	10	hit-skill	Fire Wall	10	20	dmg%		200	250	hit-skill	Enchant	5	30																										0
Swordguard	167	100	1		1	1	43	55	9gd	Executioner Sword		5	5000	bwht	bwht		invgsdu				ease		-50	-50	ac/lvl	40			res-all		15	30	gethit-skill	Shiver Armor	10	10	dmg%		200	266	balance2		20	20	block		20	20	dmg-cold	25	25	75																		0
Spineripper	168	100	1		1	1	25	32	9dg	Poignard		5	5000								ignore-ac		1	1	lifesteal		8	8	swing3		15	15	dex		10	10	dmg%		200	240	dmg-norm		20	35	nec		2	2																						0
Heart Carver	169	100	1		1	1	43	44	9di	Rondel		5	5000								deadly		35	35	ignore-ac		1	1	dmg-norm		30	50	dmg%		190	240	skill	Find Item	4	4	mag%		50	50																										0
Blackbog's Sharp	170	100	1		1	1	43	50	9kr	Cinquedeas		5	5000				invkrsu				skill	Poison Dagger	5	5	ac		50	50	dmg-norm		50	100	swing3		30	30	hit-skill	Poison Nova	10	20	extra-pois		15	15																										0
Stormspike	171	100	1		1	1	43	51	9bl	Stileto		5	5000	cblu	cblu		inv9blu				dmg-ltng		1	200	aura	Holy Shock	10	10	gethit-skill	Chain Lightning	15	20	dmg%		150	200	res-ltng/lvl	8																																0
The Impaler	172	100	1		1	1	39	39	9sr	War Spear		5	5000	lred	lred						ignore-ac		1	1	att		150	150	swing2		20	20	openwounds		40	40	dmg%		150	200	skill	Impale	5	5	skill	Power Strike	3	3																						0
Kelpie Snare	173	100	1		1	1	43	44	9tr	Fuscina		5	5000				invtriu				hit-skill	Decrepify	7	5	res-fire		50	50	hp/lvl	10			dmg-norm		50	80	str		10	10	dmg%		150	200																										0
Soulfeast Tine	174	100	1		1	1	43	43	9br	War Fork		5	5000	lyel	lyel		inv9bru				ease		-20	-20	lifesteal		7	7	manasteal		7	7	stamdrain		20	20	dmg%		150	190	att		150	250	aura	Concentration	3	3																						0
Hone Sundan	175	100	1		1	1	45	45	9st	Yari		5	5000								sock		3	6	dmg-norm		50	100	deadly		25	25	gold%		100	100	dmg%		200	250	swing1		22	22																										0
Spire of Honor	176	100	1		1	1	47	47	9p9	Lance		5	5000	lgry	lgry						att		100	100	light		2	2	regen		20	20	balance2		20	20	dmg-norm		33	66	dmg-dem/lvl	16			dmg%		200	266	skilltab	9	3	3																		0
The Meat Scraper	177	100	1		1	1	49	49	9b7	Lochaber Axe		5	5000	dred	dred						dmg%		200	250	swing2		30	30	lifesteal		10	10	openwounds		50	50	mag%		50	50	skilltab	13	5	5																										0
Blackleach Blade	178	100	1		1	1	43	43	9vo	Bill		5	5000	blac	blac						ease		-25	-25	hit-skill	Life Tap	5	5	light		-2	-2	lifesteal		8	8	dmg/lvl	16			dmg%		200	222																										0
Athena's Wrath	179	100	1		1	1	50	50	9s8	Battle Scythe		5	5000				inv9s8u				dru		1	3	dex		15	15	swing2		30	30	hp/lvl	8			dmg/lvl	8			dmg%		200	260																										0
Pierre Tombale Couant	180	100	1		1	1	51	55	9pa	Partizan		5	5000	lgld	lgld						deadly		55	55	bar		3	3	balance2		30	30	manasteal		6	6	dmg-norm		50	100	dmg%		200	300	att		100	200	dmg%/lvl	4																				0
Husoldal Evo	181	100	1		1	1	43	44	9h9	Bec-de-Corbin		5	5000								regen		20	20	att		200	250	openwounds		25	25	dmg-norm		20	45	dmg%		200	233	swing2		20	20																										0
Grim's Burning Dead	182	100	1		1	1	43	56	9wc	Grim Scythe		5	5000	cred	cred						dmg-fire		131	333	res-fire		45	45	dmg%		140	180	extra_fire_golems		2	2	ease		-50	-50	nec		3	3	reduce-ac		50	50	skill	Golem Mastery	5	5	att		200	250														0
Razorswitch	183	100	1		1	1	25	28	8ss	Jo Staff		5	5000	lpur							cast3		30	30	thorns		100	100	mana		175	175	hp		80	80	red-mag		15	15	res-all		50	50	allskills		1	1																						0
Ribcracker	184	100	1		1	1	28	36	8ls	Quarterstaff		5	5000	lblu	lblu						dmg-norm		30	100	dmg%		200	300	deadly		25	25	dex		15	15	ac		100	100	ac%		100	100	balance2		50	50	swing2		50	50	hit-skill	Amplify Damage	9	1														0
Chromatic Ire	185	100	1		1	1	43	45	8cs	Cedar Staff		5	5000				invcstu				sor		4	4	res-all		30	30	cast1		30	30	hp%		10	10	pierce-fire		15	15	pierce-ltng		15	15	extra-cold		20	20																						0
Warpspear	186	100	1		1	1	43	43	8bs	Gothic Staff		5	5000	cblu	cblu						sor		3	3	ignore-ac		1	1	hit-skill	Charged Bolt	12	20	hit-skill	Chain Lightning	12	20	pierce-ltng		10	10	skill	Teleport	3	3																										0
Skullcollector	187	100	1		1	1	43	46	8ws	Rune Staff		5	5000	blac	blac		inv8wsu				mana%		20	20	mana-kill		20	20	allskills		2	2	mag%/lvl	16			gold%/lvl	16																																0
Skystrike	188	100	1		1	1	25	28	8sb	Edge Bow		5	5000								dmg-ltng		1	300	att		100	100	enr		10	10	swing3		30	30	dmg%		150	200	hit-skill	Nova	10	25	ama		1	1																						0
Riphook	189	100	1		1	1	28	31	8hb	Razor Bow		5	5000	cred	cred						openwounds		30	30	dmg%		180	220	slow		10	10	mana		35	35	swing2		30	30	lifesteal		7	10	dmg/lvl	4																								0
Kuko Shakaku	190	100	1		1	1	28	37	8lb	Cedar Bow		5	5000	lpur	lpur		inv8lbu				skill	Immolation Arrow	3	3	extra_immolation_arrow		2	2	dmg%		200	233	pierce		25	25	dmg-fire		50	200	skilltab	0	3	3																										0
Endlesshail	191	100	1		1	1	43	50	8cb	Double Bow		5	5000				invcbwu				res-cold		35	35	mana		40	40	ac-miss		50	50	skill	Strafe	3	5	dmg%		180	220	dmg-cold	75	15	30																										0
Whichwild String	192	100	1		1	1	37	39	8s8	Short Siege Bow		5	5000	lblu	lblu		inv8s8u				hit-skill	Attract	9	3	res-all		40	40	deadly/lvl	8			dmg%		150	170	magicarrow		20	20	dmg-mag		50	100																										0
Cliffkiller	193	100	1		1	1	49	55	8l8	Large Siege Bow		5	5000	dgld							ama		2	2	dmg%		200	277	knock		1	1	hp		50	50	dmg-min		10	30	dmg-max		30	50	dmg/lvl	4																								0
Magewrath	194	100	1		1	1	43	43	8sw	Rune Bow		5	5000	oran			invswbu				manasteal		15	15	red-mag		9	13	skill	Guided Arrow	3	3	att		200	250	dex		10	10	ama		1	1	dmg-norm		25	50	dmg%		150	250																		0
Godstrike Arch	195	100	1		1	1	43	49	8lw	Gothic Bow		5	5000	lgry	lgry						dmg%		200	250	att%		100	150	dmg-undead		100	200	dmg-demon		100	200	hit-skill	Fist of the Heavens	10	20	swing2		50	50	oskill	Multiple Shot	1	1																						0
Langer Briser	196	100	1		1	1	25	32	8lx	Arbalest		5	5000				inv8lxu				knock		1	1	dmg%		170	200	mag%		50	100	hp		30	30	dmg-max		30	50	openwounds		33	33	dmg-ltng		1	212	aura	Holy Shock	5	5																		0
Pus Spiter	197	100	1		1	1	43	45	8mx	Siege Crossbow		5	5000	cgrn	cgrn		inv8mxu				dmg-pois	100	300	300	hit-skill	Lower Resist	8	3	nec		2	2	hit-skill	Poison Nova	9	15	swing2		25	25	dmg%		150	220	att/lvl	10																								0
Buriza-Do Kyanon	198	100	1		1	1	45	50	8hx	Balista		5	5000				invhxbu				pierce		50	50	dex		35	35	ac		75	150	dmg/lvl	24			swing2		80	80	dmg%		200	300	freeze		3	3	dmg-cold	100	50	250	pierce-cold	15	15															0
Demon Machine	199	100	1		1	1	50	59	8rx	Chu-Ko-Nu		5	5000	blac	blac		invrxbu				aura	Holy Fire	5	5	mana		50	50	pierce		35	35	oskill	Exploding Arrow	5	5	dmg-max		100	100	dmg%		150	200	att		632	632																						0
Armor																																																																						0
Peasent Crown	201	100	1		1	1	25	28	xap	War Hat		3	5000	lgry							enr		20	20	vit		20	20	allskills		1	1	move2		15	15	regen		6	12	ac%		100	100																										0
Rockstopper	202	100	1		1	1	27	31	xkp	Sallet		3	5000				invxkpu				res-ltng		20	40	red-dmg%		10	10	balance2		30	30	ac%		160	220	res-fire		20	50	res-cold		20	40	vit		15	15																						0
Stealskull	203	100	1		1	1	28	35	xlm	Casque		3	5000				invhlmu				manasteal		5	5	lifesteal		5	5	balance2		10	10	swing2		10	10	ac%		200	240	mag%		50	50	gold%		50	50																						0
Darksight Helm	204	100	1		1	1	35	38	xhl	Basinet		3	5000	blac	blac		invfhlu				light		-4	-4	ac/lvl	16			nofreeze		1	1	manasteal		5	5	res-fire		20	40	hit-skill	Dim Vision	7	5	dmg/lvl	8																								0
Valkiry Wing	205	100	1		1	1	43	44	xhm	Winged Helm		3	5000	lgld							ac%		150	200	move2		20	20	balance2		20	20	ama		1	2	mana-kill		5	10																														0
Crown of Thieves	206	100	1		1	1	43	49	xrn	Grand Crown		3	5000	dgld	dgld		invxrnu				dex		25	25	lifesteal		9	12	hp		50	50	mana		35	35	res-fire		33	33	ac%		160	200	gold%		100	200	mag%		50	50																		0
Blackhorn's Face	207	100	1		1	1	41	41	xsk	Death Mask		3	5000	blac	blac						dmg-ltng		1	150	openwounds		25	25	abs-ltng		10	10	res-ltng-max		5	5	ac%		180	220																														0
Vampiregaze	208	100	1		1	1	41	41	xh9	Grim Helm		3	5000	cgrn	cgrn		invbhmu				manasteal		6	8	lifesteal		6	8	hit-skill	Life Tap	9	5	red-dmg%		15	20	red-mag		10	15	ac%		100	100																										0
The Spirit Shroud	209	100	1		1	1	25	28	xui	Ghost Armor		3	5000								nofreeze		1	1	allskills		1	1	red-mag		7	11	regen		20	20	ac%		150	150	red-dmg%		15	15																										0
Skin of the Vipermagi	210	100	1		1	1	25	29	xea	SerpentSkin Armor		3	5000	dblu	dblu						ac%		120	120	res-all		20	35	cast3		30	30	red-mag		9	13	allskills		1	1																														0
Skin of the Flayerd One	211	100	1		1	1	28	31	xla	Demonhide Armor		3	5000	lred	lred						aura	Thorns	5	5	regen		15	25	extra-fire		10	10	lifesteal		5	7	ac%		150	190	thorns		100	100																										0
Ironpelt	212	100	1		1	1	30	33	xtu	Trellised Armor		3	5000	dgry	dgry		invxtuu				dur		125	125	hp		25	25	red-mag		10	16	red-dmg		15	20	ac/lvl	24			ac%		50	100	red-dmg%		10	10																						0
Spiritforge	213	100	1		1	1	30	35	xng	Linked Mail		3	5000								light		4	4	hp/lvl	10			dmg-fire		20	65	res-fire		5	5	ac%		120	160	str		15	15	sock	3																								0
Crow Caw	214	100	1		1	1	30	37	xcl	Tigulated Mail		3	5000								openwounds		35	35	ac%		150	180	dex		15	15	balance2		15	15	cast1		15	15	extra_ravens		3	3																										0
Shaftstop	215	100	1		1	1	35	38	xhn	Mesh Armor		3	5000	dgry							ac-miss		250	250	red-dmg%		30	30	hp		60	60	ac%		180	220	light		1	1																														0
Duriel's Shell	216	100	1		1	1	41	41	xrs	Cuirass		3	5000	oran	oran						str		15	15	ac/lvl	10			hp/lvl	8			ac%		160	200	res-fire		20	20	res-ltng		20	20	res-pois		20	20	res-cold		50	50	nofreeze		1	1														0
Skullder's Ire	217	100	1		1	1	43	43	xpl	Russet Armor		3	5000								allskills		1	1	mag%/lvl	16			ac%		160	200	red-mag		10	10	move1		-10	-10	cast1		-10	-10																										0
Guardian Angel	218	100	1		1	1	50	60	xlt	Templar Coat		3	5000	lgry	lgry						light		2	2	pal		2	2	ac%		180	200	block2		30	30	res-all-max		5	5	att-dem/lvl	5			dmg%		100	100																						0
Toothrow	219	100	1		1	1	45	50	xld	Sharktooth Armor		3	5000	whit	whit						thorns		100	100	ac		40	60	str		10	10	openwounds		50	50	res-fire		30	30	ac%		160	220																										0
Atma's Wail	220	100	1		1	1	45	51	xth	Embossed Plate		3	5000								dex		15	15	regen		10	10	mana%		15	15	balance2		30	30	ac/lvl	16			dur		50	50	ac%		120	160	mag%		50	50																		0
Black Hades	221	100	1		1	1	50	53	xul	Chaos Armor		3	5000								light		-4	-4	att-demon		200	250	nofreeze		1	1	sock	4			ac%		140	200	dmg-demon		100	100																										0
Corpsemourn	222	100	1		1	1	50	55	xar	Ornate Plate		3	5000	blac	blac		invxaru				str		15	15	vit		15	15	res-cold		50	50	hit-skill	Corpse Explosion	9	10	ac%		200	200	dmg-fire		50	100																										0
Que-Hegan's Wisdon	223	100	1		1	1	50	51	xtp	Mage Plate		3	5000								cast2		35	35	mana-kill		5	5	red-mag		5	5	enr		15	15	balance2		30	30	ac%		140	160	allskills		1	1	addxp	15	15																			0
Visceratuant	224	100	1		1	1	25	28	xuc	Defender		3	5000	dred			invbucu				sor		2	2	block2		30	30	block		30	30	ac%		100	150	cast1		20	20	sock		1	1																										0
Mosers Blessed Circle	225	100	1		1	1	27	31	xml	Round Shield		3	5000				invxmlu				res-all		25	25	block		25	25	sock	2			ac%		180	220	block2		30	30	extra-cold		10	15																										0
Stormchaser	226	100	1		1	1	27	35	xrg	Scutum		3	5000	cblu	cblu		invxrgu				dmg-ltng		1	100	block		20	20	half-freeze		1	1	res-ltng		50	50	att		150	150	ac%		160	220	block2		10	10	aura	Holy Shock	5	5																		0
Tiamat's Rebuke	227	100	1		1	1	30	38	xit	Dragon Shield		3	5000	lgry	lgry		invkitu				dmg-cold	100	50	100	dmg-fire		50	150	dmg-ltng		1	300	res-all		25	35	ac%		200	200	gethit-skill	Meteor	9	15	gethit-skill	Chain Lightning	9	15	gethit-skill	Blizzard	9	15																		0
Kerke's Sanctuary	228	100	1		1	1	43	44	xow	Pavise		3	5000	lgrn	lgrn		invtowu				red-dmg		11	16	red-mag		14	18	regen		15	15	ac%		180	240	allskills		2	2	block		30	30	res-all		40	40	aura	Sanctuary	5	5																		0
Radimant's Sphere	229	100	1		1	1	43	50	xts	Ancient Shield		3	5000				invgtsu				extra-pois		15	15	allskills		2	2	res-pois		75	75	ac%		160	200	block		20	20	block2		20	20																										0
Lidless Wall	230	100	1		1	1	25	30	xsh	Grim Shield		3	5000	dgld	dgld		invxshu				light		1	1	allskills		1	1	cast2		20	20	mana-kill		5	5	ac%		80	130	enr		10	10	mana%		50	50																						0
Lance Guard	231	100	1		1	1	25	35	xpk	Barbed Shield		3	5000				invxpku				hp		50	50	balance2		30	30	dmg-to-mana		15	15	thorns		200	200	ac%		70	120	deadly		25	25																										0
Venom Grip	232	100	1		1	1	25	29	xlg	Demonhide Gloves		5	5000	dgrn							res-pois		30	30	res-pois-max		5	5	extra-pois		10	10	lifesteal		5	5	ac		15	25	ac%		130	160																										0
Gravepalm	233	100	1		1	1	43	50	xvg	Sharkskin Gloves		5	5000								enr		10	10	str		10	10	dmg-undead		100	200	att-undead		100	200	ac%		140	180	aura	Blessed Aim	5	5																										0
Ghoulhide	234	100	1		1	1	30	36	xmg	Heavy Bracers		5	5000								att-und/lvl	16			dmg-und/lvl	16			regen-mana		35	35	hp/lvl	8			ac%		150	190																														0
Lavagout	235	100	1		1	1	53	63	xtg	Battle Gauntlets		5	5000	lyel							res-fire		35	35	nofreeze		1	1	hit-skill	Enchant	9	30	swing2		20	20	ac%		150	200	dmg-fire		50	77	pierce-fire		10	10																						0
Hellmouth	236	100	1		1	1	43	49	xhg	War Gauntlets		5	5000								dmg-fire		30	88	abs-fire		10	10	ac%		150	200	hit-skill	Meteor	7	20	hit-skill	Firestorm	11	15																														0
Infernostride	237	100	1		1	1	25	29	xlb	Demonhide Boots		5	5000								dmg-fire		20	50	move2		20	20	res-fire-max		10	10	res-fire		30	30	light		1	1	ac%		120	150	gold%		40	70	ac		15	15	gethit-skill	Blaze	15	15														0
Waterwalk	238	100	1		1	1	31	32	xvb	Sharkskin Boots		5	5000								ac-miss		100	100	move2		20	20	dex		15	15	ac%		180	210	hp		45	65	stam		40	40	res-fire-max		5	5	regen-stam		50	50																		0
Silkweave	239	100	1		1	1	35	36	xmb	Mesh Boots		5	5000								ac%		150	190	mana-kill		5	5	ac-miss		200	200	mana%		20	20	move2		30	30																														0
Wartraveler	240	100	1		1	1	43	43	xtb	Battle Boots		5	5000								vit		10	10	str		10	10	mag%		50	50	dur		30	30	move2		25	25	ac%		150	190	dmg-norm		15	25	stamdrain		40	40																		0
Gorerider	241	100	1		1	1	43	47	xhb	War Boots		5	5000	dred							ease		-25	-25	deadly		20	20	move2		30	30	dmg-norm		15	30	openwounds		10	10	ac%		160	200	dur		10	10	stam		20	20																		0
String of Ears	242	100	1		1	1	25	29	zlb	Demonhide Sash		5	5000	lred							red-mag		10	15	red-dmg%		10	15	lifesteal		6	8	ac%		150	180	ac		15	15	dmg-norm		5	15																										0
Razortail	243	100	1		1	1	25	32	zvb	Sharkskin Belt		5	5000								thorns/lvl	16			dex		15	15	pierce		25	25	ac		15	15	ac%		120	150	dmg-max		25	25	swing1		10	10																						0
Gloomstrap	244	100	1		1	1	30	36	zmb	Mesh Belt		5	5000								light		-3	-3	mana%		15	15	extra-pois		10	10	ac%		120	150	vit		15	15	regen-mana		15	15																										0
Snowclash	245	100	1		1	1	45	50	ztb	Battle Belt		5	5000								gethit-skill	Blizzard	10	25	abs-cold		10	10	res-cold-max		5	5	dmg-cold	50	20	30	ac%		130	170	extra-cold		10	10																										0
Thudergod's Vigor	246	100	1		1	1	43	55	zhb	War Belt		5	5000								gethit-skill	Fist of the Heavens	11	15	dmg-ltng		1	100	res-ltng-max		5	5	abs-ltng		10	10	ac%		160	200	vit		20	20	str		20	20	skill	Lightning Fury	3	3	skill	Lightning Strike	3	3														0
Elite Uniques																																																																						0
Harlequin Crest	248	100	1		1	1	60	62	uap	Shako		3	5000	cgrn	cgrn						allskills		2	2	hp/lvl	12			mana/lvl	12			mag%		50	100	red-dmg%		10	10	all-stats		5	5																										0
Veil of Steel	249	100	1		1	1	70	75	uhm	Spired Helm		3	5000	lgry	lgry						res-all		50	50	ac%		200	250	str		15	15	vit		15	15	light		-4	-4	dmg-min		15	30	dmg-max		30	60																						0
The Gladiator's Bane	250	100	1		1	1	80	85	utu	Wire Fleece		3	5000	lgry	lgry						ac%		300	300	red-mag		15	20	red-dmg		15	20	thorns		500	500	res-pois-len		50	50	balance2		30	30	ac		100	200	nofreeze		1	1																		0
Arkaine's Valor	251	100	1		1	1	80	85	upl	Balrog Skin		3	5000	lred	lred						ac%		200	300	balance2		30	30	allskills		2	3	red-dmg%		10	15	vit/lvl	8																																0
Blackoak Shield	252	100	1		1	1	60	61	uml	Luna		3	5000				invsmlu				dex/lvl	8			ac%		200	300	abs-cold/lvl	4			hp/lvl	16			block2		50	50	nofreeze		1	1	gethit-skill	Amplify Damage	10	10																						0
Stormshield	253	100	1		1	1	70	75	uit	Monarch		3	5000				invkitu				ac/lvl	30			red-dmg%		25	25	str		30	30	indestruct		1	1	block2		35	35	res-ltng		50	50	block		25	25	dmg-ltng		1	500	aura	Holy Shock	10	15														0
Hellslayer	254	100	1		1	1	60	70	7bt	Decapitator		5	5000	dred	dred		invbtxu				str/lvl	8			vit/lvl	8			dmg%/lvl	24			dmg-fire		150	250	hp		25	25	dmg%		200	250	swing1		-15	-15																						0
Messerschmidt's Reaver	255	100	1		1	1	70	70	7ga	Champion Axe		5	5000	blac	blac		invgaxu				dmg%/lvl	24			dmg%		250	300	str		15	15	dex		15	15	vit		15	15	enr		15	15	dmg-fire		50	300	att		150	150																		0
Baranar's Star	256	100	1		1	1	60	65	7mt	Devil Star		5	5000	lred	lred		invmstu				att		200	200	dmg%		200	300	dex		15	15	str		15	15	swing2		50	50	dmg-ltng		1	200	dmg-fire		1	200	dmg-cold		1	200																		0
Schaefer's Hammer	257	100	1		1	1	80	80	7wh	Legendary Mallet		5	5000	lblu	lblu						hit-skill	Static Field	13	10	hp		50	50	att/lvl	16			res-ltng		75	75	swing2		20	20	dmg/lvl	24			indestruct		1	1	dmg%		200	300	light		1	1	dmg-ltng		50	200										0
The Cranium Basher	258	100	1		1	1	85	87	7gm	Thunder Maul		5	5000	blac	blac						swing2		20	20	str		25	25	res-all		25	25	deadly		50	50	dmg-max		30	120	dmg%		300	350	hit-skill	Amplify Damage	9	5																						0
